id,name_de,name,name_de_html,category,co2_for_16fu_without_air,co2_for_100g_without_air,co2_base,sum_transport_for_16fu,land_transport,sea_transport,air_transport,food_unit,energy_in_kcal,kcal_for_16fu,weight_for_16fu,co2_for_100kcal_without_air
cherrytomaten,Cherrytomaten,Cherry tomatoes,Cherry&shy;tomaten,vegetables & mushrooms,505,25.26,19.0,125,5.8,0.43,25.94,0.08,21.26,425,2000,118.82352941176472
chicoree,Chicoree,Chicory,Chicoree,vegetables & mushrooms,452,21.18,15.0,132,6.2,0.0,0.0,0.075,13.38,285,2133,158.59649122807016
chinakohl,Chinakohl,Chinese cabbage,Chinakohl,vegetables & mushrooms,478,29.88,25.0,78,4.9,0.0,0.0,0.1,12.26,196,1600,243.87755102040816
eichblattsalat,Eichblattsalat,Red oak leaf salad,Eichblattsalat,vegetables & mushrooms,550,27.18,21.0,125,6.2,0.0,0.0,0.079,14.1,286,2025,192.30769230769232
eingelegtes_gemuese,Eingelegtes Gemüse,Pickles,Einge&shy;legtes Ge&shy;müse,vegetables & mushrooms,1385,60.59,35.0,585,25.6,0.0,0.0,0.07,14.09,322,2286,614.5962732919255
eisbergsalat,Eisbergsalat,Iceberg lettuce,Eis&shy;berg&shy;salat,vegetables & mushrooms,502,24.18,18.0,128,6.2,0.0,0.0,0.077,16.77,348,2078,144.2528735632184
endivie,Endivie,Endive,Endivie,vegetables & mushrooms,478,27.18,21.0,109,6.2,0.0,0.0,0.091,16.25,286,1758,167.13286713286712
feldsalat,Feldsalat,Lamb's lettuce,Feldsalat,vegetables & mushrooms,422,27.18,21.0,96,6.2,0.0,0.0,0.103,22.94,356,1553,118.53932584269664
fenchel,Fenchel,Fennel,Fenchel,vegetables & mushrooms,776,43.63,37.0,118,6.6,0.0,0.0,0.09,21.1,375,1778,206.9333333333333
fruehlingszwiebeln,Frühlingszwiebeln,Spring onions,Frühlingszwiebeln,vegetables & mushrooms,541,37.19,35.0,32,2.2,0.0,0.0,0.11,33.2,483,1455,112.00828157349896
gemuese,Gemüse,Vegetables,Gemüse,vegetables & mushrooms,620,34.9,29.0,105,5.9,0.0,0.0,0.09,26.75,476,1778,130.25210084033614
